2026-06-14 15:50:57 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:50:57 | ERROR    | websocket | Error in Gemini Live connection: sent 1012 (service restart); no close frame received
2026-06-14 15:50:57 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 15:50:59 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 2/3)
2026-06-14 15:51:02 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:51:03 | ERROR    | websocket | Error in Gemini Live connection: sent 1012 (service restart); no close frame received
2026-06-14 15:51:03 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 15:51:05 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 3/3)
2026-06-14 15:51:08 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:51:08 | ERROR    | websocket | Error in Gemini Live connection: sent 1012 (service restart); no close frame received
2026-06-14 15:51:08 | ERROR    | websocket | Max retries reached. Closing WebSocket.
2026-06-14 15:51:10 | INFO     | gemini_service | Initializing Vertex AI Client for project gencode-497110 in us-central1...
2026-06-14 15:51:25 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:51:25 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:51:27 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:51:38 | INFO     | gemini_service | [LATENCY] First audio chunk received in 29 ms
2026-06-14 15:51:38 | INFO     | gemini_service | [LATENCY] First audio chunk received in 242 ms
2026-06-14 15:51:38 | INFO     | gemini_service | [LATENCY] First audio chunk received in 29 ms
2026-06-14 15:51:38 | INFO     | gemini_service | [LATENCY] First audio chunk received in 33 ms
2026-06-14 15:51:49 | INFO     | websocket | Frontend client disconnected
2026-06-14 15:51:49 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 15:51:50 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 15:51:50 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 15:51:51 | INFO     | websocket | Gemini Live session connected successfully!
2026-06-14 15:51:57 | INFO     | websocket | Frontend client disconnected
2026-06-14 15:51:57 | INFO     | gemini_service | Receive task cancelled cleanly.
2026-06-14 20:11:55 | INFO     | gemini_service | Initializing Vertex AI Client for project gencode-497110 in us-central1...
2026-06-14 20:12:22 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:12:22 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:12:22 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:22 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:24 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 2/3)
2026-06-14 20:12:24 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:24 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:26 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 3/3)
2026-06-14 20:12:26 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:26 | ERROR    | websocket | Max retries reached. Closing WebSocket.
2026-06-14 20:12:27 | INFO     | websocket | Frontend client connected to /ws/voice
2026-06-14 20:12:27 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 1/3)
2026-06-14 20:12:27 | ERROR    | websocket | Error in Gemini Live connection: HTTPSConnectionPool(host='oauth2.googleapis.com', port=443): Max retries exceeded with url: /token (Caused by NameResolutionError("HTTPSConnection(host='oauth2.googleapis.com', port=443): Failed to resolve 'oauth2.googleapis.com' ([Errno 11001] getaddrinfo failed)"))
2026-06-14 20:12:27 | INFO     | websocket | Reconnecting in 2 seconds...
2026-06-14 20:12:29 | INFO     | websocket | Connecting to Gemini Live API using model: gemini-live-2.5-flash-native-audio (Attempt 2/3)
